episode_id,paired_destination_id,shift_type,duration_minutes,source_destination_mae,source_destination_rmse,source_destination_correlation,diff_mean,diff_median,diff_p95,hidden_energy_kwh,detected_induced_OR
D1440_005_DAILY,D1440_005,DAILY,1440,0.7557277777777778,1.1432878878237294,0.4041575900612008,0.3778777777777777,0.1819999999999999,2.4642000000000004,9.069066666666668,False
D1440_005_WEEKLY,D1440_005,WEEKLY,1440,0.75175,1.153951739314373,0.4528796856566419,0.2328583333333333,0.147,2.364699999999999,5.5886,False
D1440_006_DAILY,D1440_006,DAILY,1440,0.9381916666666664,1.3758628222157745,0.2621245146776841,-0.0379861111111111,0.0399999999999999,2.9943000000000004,-0.9116666666666616,False
D1440_006_WEEKLY,D1440_006,WEEKLY,1440,0.8606722222222222,1.2911729852261384,0.3306123067704338,0.0711972222222221,0.024,2.7301,1.7087333333333312,False
D1440_007_DAILY,D1440_007,DAILY,1440,0.3557666666666667,0.5848500282598571,-0.0926919894944889,0.1156805555555555,0.046,1.2401,2.776333333333333,False
D1440_007_WEEKLY,D1440_007,WEEKLY,1440,0.4141458333333333,0.6289628875290568,-0.0820394993990418,-0.0240819444444444,-0.018,1.2400000000000002,-0.5779666666666667,False
D1440_008_DAILY,D1440_008,DAILY,1440,0.5423458333333333,0.8911347338584041,0.6433053278894899,-0.3662458333333333,-0.08,2.166399999999999,-8.7899,False
D1440_008_WEEKLY,D1440_008,WEEKLY,1440,0.5026361111111112,0.7648277365960695,0.4965580358723147,0.0423555555555555,0.052,1.4521,1.016533333333328,False
D1440_009_DAILY,D1440_009,DAILY,1440,0.8326819444444443,1.1736980339934118,0.1810057381669246,-0.0101541666666666,-0.0259999999999999,2.5683,-0.2436999999999969,False
D1440_009_WEEKLY,D1440_009,WEEKLY,1440,0.7400791666666666,1.120771330379217,0.1768510788918173,0.3149013888888889,0.1359999999999999,2.1648,7.557633333333335,False
